<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MFON,D,20131017,000000,1172.0000000
MFON,D,20131018,000000,1183.0000000
MFON,D,20131021,000000,1200.0000000
MFON,D,20131022,000000,1210.0000000
MFON,D,20131023,000000,1189.0000000
MFON,D,20131024,000000,1204.5000000
MFON,D,20131025,000000,1196.0000000
MFON,D,20131028,000000,1203.8000000
MFON,D,20131029,000000,1203.9000000
MFON,D,20131030,000000,1201.3000000
MFON,D,20131031,000000,1156.3000000
MFON,D,20131101,000000,1178.8000000
MFON,D,20131105,000000,1163.0000000
MFON,D,20131106,000000,1164.5000000
MFON,D,20131107,000000,1175.6000000
MFON,D,20131108,000000,1141.4000000
MFON,D,20131111,000000,1140.4000000
MFON,D,20131112,000000,1168.9000000
MFON,D,20131113,000000,1118.6000000
MFON,D,20131114,000000,1128.3000000
MFON,D,20131115,000000,1112.5000000
MFON,D,20131118,000000,1133.1000000
MFON,D,20131119,000000,1114.7000000
MFON,D,20131120,000000,1076.1000000
MFON,D,20131121,000000,1083.6000000
MFON,D,20131122,000000,1082.8000000
MFON,D,20131125,000000,1084.1000000
MFON,D,20131126,000000,1082.6000000
MFON,D,20131127,000000,1038.7000000
MFON,D,20131128,000000,1077.0000000
MFON,D,20131129,000000,1066.4000000
MFON,D,20131202,000000,1045.1000000
MFON,D,20131203,000000,1030.1000000
MFON,D,20131204,000000,1033.0000000
MFON,D,20131205,000000,1042.9000000
MFON,D,20131206,000000,1070.0000000
MFON,D,20131209,000000,1073.0000000
MFON,D,20131210,000000,1065.0000000
MFON,D,20131211,000000,1077.0000000
MFON,D,20131212,000000,1110.0000000
MFON,D,20131213,000000,1122.1000000
MFON,D,20131216,000000,1127.5000000
MFON,D,20131217,000000,1137.5000000
MFON,D,20131218,000000,1140.4000000
MFON,D,20131219,000000,1120.0000000
MFON,D,20131220,000000,1070.0000000
MFON,D,20131223,000000,1111.0000000
MFON,D,20131224,000000,1094.0000000
MFON,D,20131225,000000,1106.0000000
MFON,D,20131226,000000,1119.5000000
MFON,D,20131227,000000,1093.2000000
MFON,D,20131230,000000,1107.4000000
MFON,D,20140106,000000,1071.9000000
MFON,D,20140108,000000,1061.3000000
MFON,D,20140109,000000,1049.8000000
MFON,D,20140110,000000,1079.9000000
MFON,D,20140113,000000,1041.0000000
MFON,D,20140114,000000,1046.6000000
MFON,D,20140115,000000,1048.7000000
MFON,D,20140116,000000,1032.1000000
MFON,D,20140117,000000,1040.3000000
MFON,D,20140120,000000,1047.0000000
MFON,D,20140121,000000,1064.0000000
MFON,D,20140122,000000,1058.7000000
MFON,D,20140123,000000,1050.0000000
MFON,D,20140124,000000,1044.8000000
MFON,D,20140127,000000,1044.0000000
MFON,D,20140128,000000,1044.0000000
MFON,D,20140129,000000,1046.0000000
MFON,D,20140130,000000,1038.1000000
MFON,D,20140131,000000,1040.7000000
MFON,D,20140203,000000,1045.9000000
MFON,D,20140204,000000,1065.0000000
MFON,D,20140205,000000,1077.5000000
MFON,D,20140206,000000,1091.3000000
MFON,D,20140207,000000,1096.9000000
MFON,D,20140210,000000,1104.0000000
MFON,D,20140211,000000,1095.0000000
MFON,D,20140212,000000,1099.1000000
MFON,D,20140213,000000,1080.3000000
MFON,D,20140214,000000,1093.6000000
MFON,D,20140217,000000,1096.9000000
MFON,D,20140218,000000,1110.0000000
MFON,D,20140219,000000,1104.4000000
MFON,D,20140220,000000,1086.3000000
MFON,D,20140221,000000,1099.2000000
MFON,D,20140224,000000,1081.0000000
MFON,D,20140225,000000,1083.9000000
MFON,D,20140226,000000,1068.8000000
MFON,D,20140227,000000,1065.0000000
MFON,D,20140228,000000,1053.0000000
MFON,D,20140303,000000,910.0000000
MFON,D,20140304,000000,953.1000000
MFON,D,20140305,000000,962.4000000
MFON,D,20140306,000000,978.0000000
MFON,D,20140307,000000,981.3000000
MFON,D,20140311,000000,959.3000000
MFON,D,20140312,000000,920.1000000
MFON,D,20140313,000000,890.2000000
MFON,D,20140314,000000,896.0000000
MFON,D,20140317,000000,930.0000000
MFON,D,20140318,000000,985.8000000
MFON,D,20140319,000000,962.0000000
MFON,D,20140320,000000,946.0000000
MFON,D,20140321,000000,915.1000000
MFON,D,20140324,000000,930.6000000
MFON,D,20140325,000000,967.0000000
MFON,D,20140326,000000,987.7000000
MFON,D,20140327,000000,976.5000000
MFON,D,20140328,000000,1004.5000000
MFON,D,20140331,000000,988.0000000
MFON,D,20140401,000000,968.0000000
MFON,D,20140402,000000,968.8000000
MFON,D,20140403,000000,956.8000000
MFON,D,20140404,000000,948.1000000
MFON,D,20140407,000000,930.0000000
MFON,D,20140408,000000,925.0000000
MFON,D,20140409,000000,944.0000000
MFON,D,20140410,000000,943.0000000
MFON,D,20140411,000000,932.2000000
MFON,D,20140414,000000,933.1000000
MFON,D,20140415,000000,915.0000000
MFON,D,20140416,000000,931.0000000
MFON,D,20140417,000000,940.0000000
MFON,D,20140418,000000,955.0000000
MFON,D,20140421,000000,938.0000000
MFON,D,20140422,000000,938.0000000
MFON,D,20140423,000000,943.0000000
MFON,D,20140424,000000,924.8000000
MFON,D,20140425,000000,912.0000000
MFON,D,20140428,000000,917.0000000
MFON,D,20140429,000000,919.7000000
MFON,D,20140430,000000,924.0000000
MFON,D,20140502,000000,913.7000000
MFON,D,20140505,000000,927.8000000
MFON,D,20140506,000000,935.8000000
MFON,D,20140507,000000,950.9000000
MFON,D,20140508,000000,955.0000000
MFON,D,20140512,000000,955.0000000
MFON,D,20140513,000000,943.5000000
MFON,D,20140514,000000,952.1000000
MFON,D,20140515,000000,955.0000000
MFON,D,20140516,000000,955.4000000
MFON,D,20140519,000000,970.0000000
MFON,D,20140520,000000,970.0000000
MFON,D,20140521,000000,1001.6000000
MFON,D,20140522,000000,994.0000000
MFON,D,20140523,000000,995.6000000
MFON,D,20140526,000000,987.6000000
MFON,D,20140527,000000,970.0000000
MFON,D,20140528,000000,992.9000000
MFON,D,20140529,000000,1018.9000000
MFON,D,20140530,000000,1019.3000000
MFON,D,20140602,000000,1032.1000000
MFON,D,20140603,000000,1044.6000000
MFON,D,20140604,000000,1058.0000000
MFON,D,20140605,000000,1048.6000000
MFON,D,20140606,000000,1064.5000000
MFON,D,20140609,000000,1110.0000000
MFON,D,20140610,000000,1091.0000000
MFON,D,20140611,000000,1074.2000000
MFON,D,20140616,000000,1082.0000000
MFON,D,20140617,000000,1067.0000000
MFON,D,20140618,000000,1066.4000000
MFON,D,20140619,000000,1086.0000000
MFON,D,20140620,000000,1110.0000000
MFON,D,20140623,000000,1075.0000000
MFON,D,20140624,000000,1090.0000000
MFON,D,20140625,000000,1079.6000000
MFON,D,20140626,000000,1066.6000000
MFON,D,20140627,000000,1069.0000000
MFON,D,20140630,000000,1079.3000000
MFON,D,20140701,000000,1097.6000000
MFON,D,20140702,000000,1099.0000000
MFON,D,20140703,000000,1114.6000000
MFON,D,20140704,000000,1109.0000000
MFON,D,20140707,000000,1120.6000000
MFON,D,20140708,000000,1138.5000000
MFON,D,20140709,000000,1138.5000000
MFON,D,20140710,000000,1051.3000000
MFON,D,20140711,000000,1043.4000000
MFON,D,20140714,000000,1034.3000000
MFON,D,20140715,000000,1030.1000000
MFON,D,20140716,000000,1032.2000000
MFON,D,20140717,000000,1018.4000000
MFON,D,20140718,000000,999.6000000
MFON,D,20140721,000000,984.3000000
MFON,D,20140722,000000,995.6000000
MFON,D,20140723,000000,1023.1000000
MFON,D,20140724,000000,1016.0000000
MFON,D,20140725,000000,990.1000000
MFON,D,20140728,000000,965.5000000
MFON,D,20140729,000000,979.8000000
MFON,D,20140730,000000,990.0000000
MFON,D,20140731,000000,982.1000000
MFON,D,20140801,000000,986.1000000
MFON,D,20140804,000000,990.1000000
MFON,D,20140805,000000,986.5000000
MFON,D,20140806,000000,949.2000000
MFON,D,20140807,000000,959.9000000
MFON,D,20140808,000000,953.0000000
MFON,D,20140811,000000,980.9000000
MFON,D,20140812,000000,1000.1000000
MFON,D,20140813,000000,1033.0000000
MFON,D,20140814,000000,1026.0000000
MFON,D,20140815,000000,1040.4000000
MFON,D,20140818,000000,1031.8000000
MFON,D,20140819,000000,1030.0000000
MFON,D,20140820,000000,1037.0000000
MFON,D,20140821,000000,1055.0000000
MFON,D,20140822,000000,1050.0000000
MFON,D,20140825,000000,1062.7000000
MFON,D,20140826,000000,1067.0000000
MFON,D,20140827,000000,1042.9000000
MFON,D,20140828,000000,1043.5000000
MFON,D,20140829,000000,1032.3000000
