<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTSS,D,20130529,000000,260.5000000
MTSS,D,20130530,000000,253.1800000
MTSS,D,20130531,000000,255.3400000
MTSS,D,20130603,000000,253.8300000
MTSS,D,20130604,000000,257.3200000
MTSS,D,20130605,000000,250.2000000
MTSS,D,20130606,000000,254.5800000
MTSS,D,20130607,000000,254.0000000
MTSS,D,20130610,000000,255.5000000
MTSS,D,20130611,000000,248.5600000
MTSS,D,20130613,000000,248.1900000
MTSS,D,20130614,000000,251.9000000
MTSS,D,20130617,000000,253.2300000
MTSS,D,20130618,000000,257.5000000
MTSS,D,20130619,000000,258.4400000
MTSS,D,20130620,000000,251.0000000
MTSS,D,20130621,000000,249.5200000
MTSS,D,20130624,000000,248.7700000
MTSS,D,20130625,000000,250.4000000
MTSS,D,20130626,000000,259.4200000
MTSS,D,20130627,000000,259.4100000
MTSS,D,20130628,000000,261.4500000
MTSS,D,20130701,000000,259.5000000
MTSS,D,20130702,000000,258.0000000
MTSS,D,20130703,000000,258.4700000
MTSS,D,20130704,000000,257.9500000
MTSS,D,20130705,000000,261.0200000
MTSS,D,20130708,000000,266.1100000
MTSS,D,20130709,000000,263.2600000
MTSS,D,20130710,000000,261.8700000
MTSS,D,20130711,000000,267.0000000
MTSS,D,20130712,000000,272.3000000
MTSS,D,20130715,000000,268.5700000
MTSS,D,20130716,000000,272.5000000
MTSS,D,20130717,000000,274.0000000
MTSS,D,20130718,000000,269.7100000
MTSS,D,20130719,000000,269.2200000
MTSS,D,20130722,000000,274.0000000
MTSS,D,20130723,000000,276.7000000
MTSS,D,20130724,000000,278.9500000
MTSS,D,20130725,000000,280.5700000
MTSS,D,20130726,000000,282.4500000
MTSS,D,20130729,000000,276.3000000
MTSS,D,20130730,000000,278.5100000
MTSS,D,20130731,000000,273.5400000
MTSS,D,20130801,000000,282.6300000
MTSS,D,20130802,000000,283.7000000
MTSS,D,20130805,000000,287.3800000
MTSS,D,20130806,000000,282.0100000
MTSS,D,20130807,000000,285.1700000
MTSS,D,20130808,000000,285.8900000
MTSS,D,20130809,000000,289.4900000
MTSS,D,20130812,000000,292.2000000
MTSS,D,20130813,000000,294.4000000
MTSS,D,20130814,000000,299.9800000
MTSS,D,20130815,000000,289.9000000
MTSS,D,20130816,000000,286.0000000
MTSS,D,20130819,000000,287.9000000
MTSS,D,20130820,000000,294.8500000
MTSS,D,20130821,000000,300.8000000
MTSS,D,20130822,000000,298.7000000
MTSS,D,20130823,000000,296.7700000
MTSS,D,20130826,000000,299.9900000
MTSS,D,20130827,000000,292.4600000
MTSS,D,20130828,000000,289.7900000
MTSS,D,20130829,000000,287.9900000
MTSS,D,20130830,000000,287.9800000
MTSS,D,20130902,000000,283.0100000
MTSS,D,20130903,000000,286.0000000
MTSS,D,20130904,000000,282.9600000
MTSS,D,20130905,000000,295.0000000
MTSS,D,20130906,000000,297.1000000
MTSS,D,20130909,000000,300.5500000
MTSS,D,20130910,000000,299.0400000
MTSS,D,20130911,000000,298.5300000
MTSS,D,20130912,000000,298.4000000
MTSS,D,20130913,000000,299.9800000
MTSS,D,20130916,000000,308.2000000
MTSS,D,20130917,000000,307.9500000
MTSS,D,20130918,000000,308.3600000
MTSS,D,20130919,000000,313.5000000
MTSS,D,20130920,000000,311.8000000
MTSS,D,20130923,000000,307.1300000
MTSS,D,20130924,000000,311.0000000
MTSS,D,20130925,000000,316.3200000
MTSS,D,20130926,000000,319.5000000
MTSS,D,20130927,000000,321.0500000
MTSS,D,20130930,000000,323.0000000
MTSS,D,20131001,000000,327.9600000
MTSS,D,20131002,000000,324.0000000
MTSS,D,20131003,000000,324.2400000
MTSS,D,20131004,000000,327.9200000
MTSS,D,20131007,000000,330.0600000
MTSS,D,20131008,000000,329.9700000
MTSS,D,20131009,000000,328.9000000
MTSS,D,20131010,000000,333.7300000
MTSS,D,20131011,000000,336.2100000
MTSS,D,20131014,000000,336.8000000
MTSS,D,20131015,000000,344.8000000
MTSS,D,20131016,000000,351.5000000
MTSS,D,20131017,000000,343.0000000
MTSS,D,20131018,000000,348.5000000
MTSS,D,20131021,000000,341.0000000
MTSS,D,20131022,000000,345.3900000
MTSS,D,20131023,000000,338.5000000
MTSS,D,20131024,000000,339.2100000
MTSS,D,20131025,000000,336.3900000
MTSS,D,20131028,000000,337.8000000
MTSS,D,20131029,000000,341.5400000
MTSS,D,20131030,000000,339.9700000
MTSS,D,20131031,000000,340.0000000
MTSS,D,20131101,000000,338.4000000
MTSS,D,20131105,000000,335.2700000
MTSS,D,20131106,000000,329.5300000
MTSS,D,20131107,000000,330.0900000
MTSS,D,20131108,000000,328.6900000
MTSS,D,20131111,000000,326.0000000
MTSS,D,20131112,000000,326.0900000
MTSS,D,20131113,000000,318.0000000
MTSS,D,20131114,000000,320.0300000
MTSS,D,20131115,000000,326.3500000
MTSS,D,20131118,000000,329.0300000
MTSS,D,20131119,000000,329.5000000
MTSS,D,20131120,000000,321.5000000
MTSS,D,20131121,000000,314.5600000
MTSS,D,20131122,000000,317.9900000
MTSS,D,20131125,000000,314.0000000
MTSS,D,20131126,000000,318.0500000
MTSS,D,20131127,000000,310.2000000
MTSS,D,20131128,000000,310.5000000
MTSS,D,20131129,000000,313.0500000
MTSS,D,20131202,000000,312.1200000
MTSS,D,20131203,000000,309.0600000
MTSS,D,20131204,000000,308.2800000
MTSS,D,20131205,000000,305.0000000
MTSS,D,20131206,000000,317.5300000
MTSS,D,20131209,000000,324.8300000
MTSS,D,20131210,000000,320.6100000
MTSS,D,20131211,000000,322.4700000
MTSS,D,20131212,000000,317.0100000
MTSS,D,20131213,000000,319.5100000
MTSS,D,20131216,000000,320.4900000
MTSS,D,20131217,000000,319.6400000
MTSS,D,20131218,000000,319.0200000
MTSS,D,20131219,000000,324.3100000
MTSS,D,20131220,000000,324.2000000
MTSS,D,20131223,000000,329.4900000
MTSS,D,20131224,000000,329.0600000
MTSS,D,20131225,000000,325.2800000
MTSS,D,20131226,000000,327.6000000
MTSS,D,20131227,000000,326.1000000
MTSS,D,20131230,000000,328.2900000
MTSS,D,20140106,000000,315.0200000
MTSS,D,20140108,000000,314.6300000
MTSS,D,20140109,000000,312.0400000
MTSS,D,20140110,000000,313.4300000
MTSS,D,20140113,000000,317.0800000
MTSS,D,20140114,000000,314.5100000
MTSS,D,20140115,000000,317.9500000
MTSS,D,20140116,000000,312.6000000
MTSS,D,20140117,000000,311.2800000
MTSS,D,20140120,000000,312.0900000
MTSS,D,20140121,000000,312.1700000
MTSS,D,20140122,000000,307.3100000
MTSS,D,20140123,000000,307.5200000
MTSS,D,20140124,000000,305.6000000
MTSS,D,20140127,000000,298.7500000
MTSS,D,20140128,000000,299.5000000
MTSS,D,20140129,000000,293.0200000
MTSS,D,20140130,000000,291.2900000
MTSS,D,20140131,000000,287.8700000
MTSS,D,20140203,000000,289.0300000
MTSS,D,20140204,000000,296.9800000
